indx,BRANCH_NAME,CUSTOMER_CLASS,year,Amount,Accounts,BRANCH_NAME_En,CBU
87,صامطة واحد المسارحة,GOVT,2022,9666912.45,3407,Samtah Ahad Al Masarihah,JZBU
88,صامطة واحد المسارحة,RES,2022,11230220.01,70006,Samtah Ahad Al Masarihah,JZBU
89,صامطة واحد المسارحة,TANKER,2022,266182.96,10,Samtah Ahad Al Masarihah,JZBU
90,صبيا,COM,2022,63624.93,39,Sabya,JZBU
91,صبيا,GOVT,2022,4214105.78,2209,Sabya,JZBU
92,صبيا,RES,2022,6179026.85,21032,Sabya,JZBU
93,صبيا,TANKER,2022,209014.00,10,Sabya,JZBU
94,ضمد,COM,2022,29190.89,57,Damad,JZBU
95,ضمد,GOVT,2022,2097197.09,872,Damad,JZBU
96,ضمد,RES,2022,2608014.33,25353,Damad,JZBU
97,ظهران الجنوب,RES,2022,11109.00,3,DHAHRAN ALJANOUB,AS
98,فرسان,COM,2022,327976.96,241,Farasan,JZBU
99,فرسان,GOVT,2022,3727782.22,1706,Farasan,JZBU
100,فرسان,RES,2022,1285586.22,12421,Farasan,JZBU
101,فرسان,TANKER,2022,319686.77,10,Farasan,JZBU
102,قلوه,COM,2022,28757.55,34,Qilwah,BA
103,قلوه,GOVT,2022,768723.21,1617,Qilwah,BA
104,قلوه,RES,2022,960034.22,9306,Qilwah,BA
105,محايل,COM,2022,128478.00,4,Mahayel,AS
106,محايل,GOVT,2022,3204.57,1,Mahayel,AS
107,محايل,RES,2022,679435.73,88,Mahayel,AS
108,محايل,TANKER,2022,1423361.82,10,Mahayel,AS
109,مدينة سلطان,COM,2022,48327.02,1,Madinat Sultan,AS
110,مدينة سلطان,RES,2022,26388.63,56,Madinat Sultan,AS
111,نجران الفرع الرئيسي,COM,2022,549466.57,2457,Najran Main Branch,NJ
112,نجران الفرع الرئيسي,GOVT,2022,18979558.16,3156,Najran Main Branch,NJ
113,نجران الفرع الرئيسي,RES,2022,17057526.87,188605,Najran Main Branch,NJ
114,نجران الفرع الرئيسي,TANKER,2022,1950142.16,2,Najran Main Branch,NJ
115,يدمه,GOVT,2022,2440.21,12,Yadamah,NJ
116,يدمه,RES,2022,7802.61,189,Yadamah,NJ
117,يدمه,TANKER,2022,115398.61,2,Yadamah,NJ
0,أبها الفرع الرئيسي,COM,2023,7166141.45,2672,Abhaa Main Branch,AS
1,أبها الفرع الرئيسي,GOVT,2023,18766482.91,2840,Abhaa Main Branch,AS
2,أبها الفرع الرئيسي,RES,2023,38078853.38,220798,Abhaa Main Branch,AS
3,أبها الفرع الرئيسي,TANKER,2023,129896187.13,517,Abhaa Main Branch,AS
4,أبو عريش,COM,2023,305438.23,792,Abu Arish,JZBU
5,أبو عريش,GOVT,2023,4601617.90,1393,Abu Arish,JZBU
6,أبو عريش,RES,2023,7047193.30,59849,Abu Arish,JZBU
7,أبو عريش,TANKER,2023,477332.26,11,Abu Arish,JZBU
8,أحد رفيدة,COM,2023,658379.35,831,Ahad Rafidah,AS
9,أحد رفيدة,GOVT,2023,998109.73,476,Ahad Rafidah,AS
10,أحد رفيدة,RES,2023,6224764.47,42391,Ahad Rafidah,AS
11,الباحة الفرع الرئيسي,COM,2023,425331.34,636,Bahaa Main Branch,BA
12,الباحة الفرع الرئيسي,GOVT,2023,2001325.71,3414,Bahaa Main Branch,BA
13,الباحة الفرع الرئيسي,RES,2023,6099071.15,80186,Bahaa Main Branch,BA
14,الباحة الفرع الرئيسي,TANKER,2023,2886144.30,83,Bahaa Main Branch,BA
15,البرك,COM,2023,47296.80,129,Al Barak,AS
16,البرك,GOVT,2023,324178.87,360,Al Barak,AS
17,البرك,RES,2023,448418.56,4654,Al Barak,AS
18,الحجره,COM,2023,9257.98,12,Al Hajra,BA
19,الحجره,GOVT,2023,141641.96,252,Al Hajra,BA
20,الحجره,RES,2023,339286.27,2184,Al Hajra,BA
21,الدرب,COM,2023,93407.82,320,Ad Darb,JZBU
22,الدرب,GOVT,2023,1116512.97,1414,Ad Darb,JZBU
23,الدرب,RES,2023,5516034.61,58970,Ad Darb,JZBU
24,الدرب,TANKER,2023,3254799.48,23,Ad Darb,JZBU
25,العارضة,COM,2023,497.04,6,AL Aridhah,JZBU
26,العارضة,GOVT,2023,147482.74,157,AL Aridhah,JZBU
27,العارضة,RES,2023,1835902.23,22698,AL Aridhah,JZBU
28,العقيق,COM,2023,109576.64,51,Al Aqiq,BA
29,العقيق,GOVT,2023,1244469.14,1288,Al Aqiq,BA
30,العقيق,RES,2023,3571582.20,25824,Al Aqiq,BA
31,العقيق,TANKER,2023,65743.20,10,Al Aqiq,BA
32,العيدابي,COM,2023,85679.46,130,Al Edabi,JZBU
33,العيدابي,GOVT,2023,460731.91,316,Al Edabi,JZBU
34,العيدابي,RES,2023,2247963.19,17924,Al Edabi,JZBU
35,العيدابي,TANKER,2023,1700896.35,26,Al Edabi,JZBU
36,القرى,COM,2023,118183.14,429,Al Qara,BA
37,القرى,GOVT,2023,432675.41,1917,Al Qara,BA
38,القرى,RES,2023,2351241.54,35518,Al Qara,BA
39,القرى,TANKER,2023,567387.00,63,Al Qara,BA
40,المجاردة,RES,2023,785416.80,820,Almajardah,AS
41,المخواه وغامد الزناد,COM,2023,130574.65,242,Al Makhwah and Ghamid Al Zinad,BA
42,المخواه وغامد الزناد,GOVT,2023,1130701.01,1675,Al Makhwah and Ghamid Al Zinad,BA
43,المخواه وغامد الزناد,RES,2023,2601445.08,23287,Al Makhwah and Ghamid Al Zinad,BA
44,المخواه وغامد الزناد,TANKER,2023,430325.40,12,Al Makhwah and Ghamid Al Zinad,BA
46,المندق و بني حسن,COM,2023,89147.02,194,Al Mandaq and Bani Hassan,BA
47,المندق و بني حسن,GOVT,2023,614692.05,2420,Al Mandaq and Bani Hassan,BA
48,المندق و بني حسن,RES,2023,2933267.25,50503,Al Mandaq and Bani Hassan,BA
49,المندق و بني حسن,TANKER,2023,844523.20,49,Al Mandaq and Bani Hassan,BA
